shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                       ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:11 ,     8880 ,       7990 ,в221933 ,"Коньяк ""Remy Martin"" VSOP, red gift box Limited Edition,  0.7 л"                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:19 ,     2239 ,       1999 ,в58886  ,"Ром ""Captain Morgan"" White,  0.7 л"                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:23 ,     3099 ,       2790 ,в58887  ,"Ром ""Captain Morgan"" White,  1 л"                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:26 ,     1749 ,       1749 ,в58888  ,"Ром ""Captain Morgan"" White,  0.5 л"                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:29 ,     3800 ,       3800 ,в125078 ,"Ром ""Captain Morgan"" White,  2 л"                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:17 ,      820 ,        719 ,в82663  ,"Коньяк ""Старейшина"" Трехлетний,  0.5 л"                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:21 ,     1499 ,       1499 ,в82664  ,"Коньяк ""Старейшина"" Трехлетний,  1 л"                                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:26 ,      159 ,        159 ,в107237 ,"Коньяк ""Старейшина"" Трехлетний,  100 мл"                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:30 ,      339 ,        339 ,в113151 ,"Коньяк ""Старейшина"" Трехлетний,  250 мл"                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:39 ,     2339 ,       1590 ,в47780  ,"Водка Cavino, Ouzo ""Romios"",  0.7 л"                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:08 ,     2099 ,       1599 ,в4240   ,"Водка ""Finlandia"",  0.7 л"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:15 ,     1390 ,       1390 ,в4239   ,"Водка ""Finlandia"",  0.5 л"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:19 ,     2619 ,       2619 ,в4241   ,"Водка ""Finlandia"",  1 л"                                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:23 ,      339 ,        339 ,в35389  ,"Водка ""Finlandia"",  50 мл"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:27 ,     4390 ,       4390 ,в35428  ,"Водка Finlandia,  3 л"                                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:31 ,      389 ,        389 ,в46466  ,"Водка ""Finlandia"",  350 мл"                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:37 ,     2109 ,       2109 ,в133134 ,"Водка ""Finlandia"",  0.75 л"                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:41 ,     1939 ,       1939 ,в156431 ,"Водка ""Finlandia"",  1.75 л"                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:34 ,     1329 ,        909 ,в175146 ,"Ром ""Devil's Island"" Blanco,  0.7 л"                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:39 ,      949 ,        949 ,в160729 ,"Ром ""Devil's Island"" Blanco,  0.5 л"                                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:44 ,     1890 ,       1890 ,в190386 ,"Ром ""Devil's Island"" Blanco,  1 л"                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:46 ,     1699 ,       1499 ,в247792 ,"Вино ""Las Bas"" Gewurztraminer, Somontano DO, 2023 "                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:03 ,     2190 ,       2190 ,в2402   ,"Виски ""Jim Beam"",  0.7 л"                                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:08 ,     1690 ,       1690 ,в2401   ,"Виски ""Jim Beam"",  0.5 л"                                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:15 ,     1509 ,       1509 ,в2403   ,"Виски Jim Beam,  0.75 л"                                                                  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:19 ,     2690 ,       2690 ,в2404   ,"Виски ""Jim Beam"",  1 л"                                                                 ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:23 ,     1290 ,       1290 ,в24156  ,"Виски ""Jim Beam"",  350 мл"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:29 ,      220 ,        220 ,в79105  ,"Виски ""Jim Beam"",  50 мл"                                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:33 ,      449 ,        449 ,в158033 ,"Виски ""Jim Beam"",  200 мл"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:39 ,     3249 ,       3249 ,в158034 ,"Виски ""Jim Beam"",  1.5 л"                                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:43 ,     2410 ,       2410 ,в224577 ,"Виски ""Jim Beam"",  0.75 л"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:48 ,     4949 ,       4949 ,в226239 ,"Виски ""Jim Beam"",  1.75 л"                                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:48 ,     1690 ,       1499 ,в82666  ,"Коньяк ""Старейшина"" Империал 12-летний,  0.5 л"                                         ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:27:52 ,     1949 ,       1949 ,в188608 ,"Коньяк ""Старейшина"" Империал 12-летний,  0.7 л"                                         ,
